,name,ratings,displayNam,phone_numbers,nationalPhoneNumber,opening_hours_list,category,formattedAddress
0,المفلح,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
1,Riyad Bank ATM,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
2,ريف متجرملابس-نسائية-الدورالاول-Reef,No Reviews,ريف متجرملابس-نسائية-الدورالاول-Reef,N/A,N/A,N/A,clothing_store,"العثيم مول، Ar Rabwah, Riyadh 12839, Saudi Arabia"
3,فني مطابخ تفصيل وجاهز,No Reviews,فني مطابخ تفصيل وجاهز,+966 57 341 7696,057 341 7696,"Monday: Open 24 hours, Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours, Saturday: Open 24 hours, Sunday: Open 24 hours",home_goods_store,"Eastern Ring Rd, Ar Rabwah, Riyadh 11223, Saudi Arabia"
4,MANGO,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
5,Food Court at Othaim Mall,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
6,Oud Milano,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
7,اعونيه,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
8,House in riyadh,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
9,Riyad Bank ATM,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
10,Baverly Hills Polo Club,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
11,Riyad Bank ATM,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
12,دورة مياه نساء,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
13,الجبيل,No Reviews,Al Jubail,N/A,N/A,N/A,N/A,Al Jubail Saudi Arabia
14,نفرتاري,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
15,Benefit Cosmetics Brow Bar Lounge,No Reviews,Benefit Cosmetics Brow Bar Lounge,+966 11 810 9692,011 810 9692,"Monday: 10:00 AM – 1:00 AM, Tuesday: 10:00 AM – 1:00 AM, Wednesday: 10:00 AM – 1:00 AM, Thursday: 10:00 AM – 1:00 AM, Friday: 2:00 – 11:00 PM, Saturday: 10:00 AM – 1:00 AM, Sunday: 10:00 AM – 1:00 AM",beauty_salon,"Sephora Othaim Mall Rabwa Inside Sephora, Othaim Mall, Rabwa, Riyadh 12839, Saudi Arabia"
16,مدرسه,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
17,POKAWA Poké bowls,No Reviews,POKAWA Poké bowls,N/A,N/A,N/A,american_restaurant,"7454 Eastern Ring Branch Rd, Ar Rabwah, Riyadh 12839, Saudi Arabia"
18,البنك الأول,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
19,مصلى ودورات مياه رجال,No Reviews,مصلى ودورات مياه رجال,N/A,N/A,N/A,mosque,"7384 Al Thouwaimat, 3931, Ar Rabwah, Riyadh 12839, Saudi Arabia"
20,إم آند كو,No Reviews,إم آند كو,+966 11 257 0917,011 257 0917,"Monday: 9:30 AM – 11:30 PM, Tuesday: 9:30 AM – 11:30 PM, Wednesday: 9:30 AM – 11:30 PM, Thursday: 9:30 AM – 11:30 PM, Friday: 9:30 AM – 11:30 PM, Saturday: 9:30 AM – 11:30 PM, Sunday: 9:30 AM – 11:30 PM",clothing_store,"7384 Al Thouwaimat, 3931, Ar Rabwah, Riyadh 12839, Saudi Arabia"
21,Riyad Bank ATM,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
22,دورة مياه رجال,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
23,VINCE CAMUTO,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
24,ميموس تانتوني | Memo’s Tantuni,(5⭐) The taste  took me back to 🇹🇷. - 2 weeks ago,ميموس تانتوني | Memo’s Tantuni,N/A,N/A,N/A,turkish_restaurant,"MQPG+23M, Ar Rabwah, Riyadh 12839, Saudi Arabia"
25,Mall,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
26,بانز هاوس | Buns House,(3⭐) No Review - a month ago,بانز هاوس | Buns House,N/A,N/A,N/A,coffee_shop,"MQPG+G52, Ar Rabwah, Riyadh 12839, Saudi Arabia"
27,Jusstmanzar,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
28,كنزالطفل,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
29,KOKOY,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
