,Unnamed: 0,name,ratings,displayNam,phone_numbers,nationalPhoneNumber,opening_hours_list,category,formattedAddress
0,0,محل حالة منخفضة,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
1,1,بنك الدم - العثيم مول,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
2,2,مجوهرات أبحر Abhur Jewellery,No Reviews,Eastern Ring Branch Road & Exit 14,N/A,N/A,N/A,intersection,"Eastern Ring Branch Road & Exit 14, Ar Rabwah, Riyadh 12824, Saudi Arabia"
3,3,Riyad Bank ATM,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
4,4,الويب الشرقي,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
5,5,دايبرغ/كرن,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
6,6,ماكي,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
7,7,Tacomap,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
8,8,Grand centrale,No Reviews,Eastern Ring Branch Road & Exit 14,N/A,N/A,N/A,intersection,"Eastern Ring Branch Road & Exit 14, Ar Rabwah, Riyadh 12824, Saudi Arabia"
9,9,مروه,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
10,10,Wil Spa Massage and wellness,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
11,11,ستندرز STENDERS,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
12,12,ناتشورال تاتش - Natural Touch,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
13,13,زهور الريف,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
14,14,لانجري روتيلا مفارش,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
15,15,لوفت,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
16,16,Babyshop (Centrepoint),(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
17,17,OVS,"(1⭐) عندهم موظفه الله يرزقها اسلوب 👎🏻
نفَّرتني اشتري من عندهم - a month ago | (5⭐) الالوان عندهم رايقة وحلوه بذات الاخضر ودرجاته👍🏻 - 3 years ago | (5⭐) No Review - 11 months ago",OVS,+966 1254000,1254000,"Monday: 9:30 AM – 10:00 PM, Tuesday: 9:30 AM – 10:00 PM, Wednesday: 9:30 AM – 10:00 PM, Thursday: 9:30 AM – 10:00 PM, Friday: 10:00 AM – 11:00 PM, Saturday: 9:30 AM – 10:00 PM, Sunday: 9:30 AM – 10:00 PM",clothing_store,"Eastern Ring Road, مخرج 14، الربوة، الرياض 62581, Saudi Arabia"
18,18,او في اس | OVS,"(1⭐) عندهم موظفه الله يرزقها اسلوب 👎🏻
نفَّرتني اشتري من عندهم - a month ago | (5⭐) الالوان عندهم رايقة وحلوه بذات الاخضر ودرجاته👍🏻 - 3 years ago | (5⭐) No Review - 11 months ago",OVS,+966 1254000,1254000,"Monday: 9:30 AM – 10:00 PM, Tuesday: 9:30 AM – 10:00 PM, Wednesday: 9:30 AM – 10:00 PM, Thursday: 9:30 AM – 10:00 PM, Friday: 10:00 AM – 11:00 PM, Saturday: 9:30 AM – 10:00 PM, Sunday: 9:30 AM – 10:00 PM",clothing_store,"Eastern Ring Road, مخرج 14، الربوة، الرياض 62581, Saudi Arabia"
19,19,بانز هاوس | Buns House,(3⭐) No Review - a month ago,بانز هاوس | Buns House,N/A,N/A,N/A,coffee_shop,"MQPG+G52, Ar Rabwah, Riyadh 12839, Saudi Arabia"
20,20,كندر للحلويات,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
21,21,لورد ميلانو العثيم مول,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
22,22,الفايز للساعات,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
23,23,واحة الجلابية,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
24,24,نور ميسان,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
25,25,Women'Secret,(5⭐) بس اللحوج كثيرين - a year ago | (5⭐) No Review - a year ago,Women'Secret,+966 800 301 5000,800 301 5000,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 1:00 – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM",clothing_store,"مخرج 14, Eastern Ring Branch Rd, Ar Rabwah, Riyadh 12839, Saudi Arabia"
26,26,Pylones,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
27,27,ماس الشرقية للاتصالات,No Reviews,Eastern Ring Branch Road & Exit 14,N/A,N/A,N/A,intersection,"Eastern Ring Branch Road & Exit 14, Ar Rabwah, Riyadh 12824, Saudi Arabia"
28,28,Saadeddin Express Al-Othaim Al-Ahsa,No Reviews,Eastern Ring Branch Road & Exit 14,N/A,N/A,N/A,intersection,"Eastern Ring Branch Road & Exit 14, Ar Rabwah, Riyadh 12824, Saudi Arabia"
29,29,Alinma ATM,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
