name,category,location,reviews,rating,nationalPhoneNumber,opening_hours
Barry Smith,"store, point_of_interest, establishment","G1 No 38, Sunway Pyramid Shopping Mall, Bandar Sunway, 47500 Petaling Jaya, Selangor, Malaysia","review_rating:5, text:Great selection of luggage and leather goods. They offer express delivery to your house for new items at no cost.",5,+60 3-7494 1228,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
Running Lab,"sporting_goods_store, store, point_of_interest, establishment","F1.89B (First Floor, Sunway Pyramid Mall, 3, Jalan PJS 11/15, Bandar Sunway, 47500 Petaling Jaya, Selangor, Malaysia","review_rating:3, text:Running Lab at Sunway Pyramid is a fantastic sportswear store! They offer a great selection of sports shoes, caps, sandals, water bottles, and socks. The store is well-organized, and the staff is friendly and knowledgeable. Whether you're into running or just need casual sportswear, this place has plenty of high-quality options. Definitely worth a visit! | review_rating:5, text:I visited Running Lab at Sunway Pyramid today, and the store absolutely deserves my 5 star review! I had the pleasure of being assisted by En. Ahmad Ridzwan, who provided exceptional service. As a runner himself, he understood my needs perfectly and recommended running shoes that suited me the best. What impressed me the most was his suggestion to try the shoes on a treadmill to ensure the right fit - a thoughtful touch that truly sets this store apart. En. Ahmad's deep knowledge of the products and his friendly, encouraging attitude made the experience unforgettable.

When the size we wanted was out of stock, En. Ahmad went above and beyond to source it from other branches for us. His dedication and willingness to help were truly outstanding.

I've been to several Running Lab branches before, but I've never encountered someone as dedicated and knowledgeable as En. Ahmad. I am so glad I decided to visit this branch today! Both my sister and I ended up making purchases, and we left feeling completely satisfied.

Thank you Running Lab Sunway Pyramid, and especially En. Ahmad Ridzwan, for such a fanstatic experience. Highly recommended for anyone looking for expert advice and top-notch service! | review_rating:5, text:I had a great experience visiting the store for the first time. As I’ve told the shop assistant that I am currently surveying a particular brand at the moment and will not be buying anytime soon however they were still so kind to assist me along sharing their in-depth knowledge of all the shoes selection. Thanks again Wan and Imran for your kind assistance, I’ll definitely pop-in when the needs arise! | review_rating:5, text:Came to look for Hoka Slides but not available, got recommended by staff to get Oofos slides instead. Quite comfortable for my feet which suffers Plantar Faciistis. Great customer service by Emran | review_rating:5, text:Customer Service bagus, Seller Imran terbaik.",4.7,+60 3-5611 9965,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
Tricia Lew,"shoe_store, store, point_of_interest, establishment","G1.121A.2, Ground Floor, Sunway Pyramid Mall, 3, Jalan PJS 11/15, Bandar Sunway, 47500 Petaling Jaya, Selangor, Malaysia","review_rating:5, text:Their staff are friendly and provide great service. Their heels offer comfort and style, making it effortless to dress up daily. Try it out. | review_rating:5, text:Best experience. Staff treats me nicely | review_rating:5, text:love the store! comfy shoes and stylish bags! | review_rating:5, text:Good range of shoes available. Come check it out at the Pyramid outlet | review_rating:5, text:Great service with beautiful heels for dinner.",5,+60 11-1535 4522,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
BEBEK GORENG PAK NDUT,"indonesian_restaurant, restaurant, point_of_interest, food, establishment","LG2.49, Lower Ground Two, 3, Jalan PJS 11/15, Bandar Sunway, 47500 Petaling Jaya, Selangor, Malaysia","review_rating:4, text:2 days ago while shopping in Sunway Pyramid with my family, we were rather hungry at 6 pm. It was already dinner time for us all. We didn’t want any Chinese nor Western food . So we walked around the restaurants here to pick n choose what best to eat. So my niece who is rather adventurous , wanted to try some Indonesian food. We also happened to pass by this restaurant called Bebek Goreng Pak Ndut that serves duck n chicken cuisine Indonesian style. So we took a table n ordered our dinner. We ordered 2 pax of grilled duck n original duck plus another 2 pax of crispy fried chicken n grilled chicken. The food, to our surprise, was good . The prices were also reasonable. There were some Malay as well as some Chinese customers too. After our dinner when we left , we saw their special promotions during weekdays from 2.30pm - 5.30 pm. | review_rating:4, text:The duck is crispy outside and soft and fluffy inside thus making it very delectable. The grilled duck is the best IMO.

There is an assortment of condiments that are available and it's unlimited. A delight especially for spice lovers. | review_rating:3, text:Plenty of seats to choose. Ordered the fried duck. Nothing to shout about. It's too dry for my liking. At least the sambal provides a good cover. The cracker also not all is crunchy.

So, overall it's just mid. | review_rating:4, text:Food (Bebek Goreng/Bakar) - it is good as expected and definitely value for money. Perhaps just change the raw cabbage with some other veggies that can be eaten raw by most people.

Food (Beef soto betawi) - This was my original order but I asked to cancel because the beef was tough (tougher than your bully brother lol). Like real tough, plus the ligaments of the meat is everywhere. 😂 I asked to change to bebek goreng.

Service - This is Awesome! Overall the crew was kind and nice. One of the crew even ask me to do this review, which I don’t want to. Haha but he insisted so that they can continue to improve! That is bold! | review_rating:4, text:The duck was really good, especially with their red sambal. The gado gado was interesting as it had tomatoes and potatoes. The peanut sauce was also too watery.",4.6,N/A,"Monday: 10:30 AM – 9:00 PM, Tuesday: 10:30 AM – 9:00 PM, Wednesday: 10:30 AM – 9:00 PM, Thursday: 10:30 AM – 9:00 PM, Friday: 10:30 AM – 9:00 PM, Saturday: 10:30 AM – 9:00 PM, Sunday: 10:30 AM – 9:00 PM"
Zok Noodle House,"restaurant, food, point_of_interest, establishment","OB.K8, Ground Floor, Sunway Pyramid, Jalan PJS 11/15, Bandar Sunway, 47500 Subang Jaya, Selangor, Malaysia","review_rating:5, text:The service here is really good, and the food is equally delicious as well. Definitely one of the best branch! You should try their Wantan mee, the texture is a bit chewy, which makes it nice. The Mala soup is also a great choice, especially if you love spicy stuff. | review_rating:4, text:Portion of food consider satisfied, value for the money. We order Mala Spicy noodle and wine soup noodle. Mala spicy included pork chop and two wantan. Tasted delicious and worth it. Surrounding comfortable and this restaurant located edge of the mall. | review_rating:5, text:Visit date: 11/1/2025

Good selection of noodles. Spacious dining area with indoor and outdoor options.

Classic pork noodles (RM17.90 nett) is pretty good in taste and portion.

Service is prompt and friendly | review_rating:5, text:Ordered Tomato Soup Pork Belly Noodle 🍅
Taste good! They also provided disposable apron here so that your clothes still stay clean after eating 🫶🏻 | review_rating:5, text:The curry noodle is yummy. The environment here is comfortable. I like it. Will try other food for next visit 😊",4.6,+60 16-225 6630,"Monday: 10:30 AM – 10:00 PM, Tuesday: 10:30 AM – 10:00 PM, Wednesday: 10:30 AM – 10:00 PM, Thursday: 10:30 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:30 AM – 10:00 PM"
Ice-Watch,"store, point_of_interest, establishment","Lot LG2.70B, Lower Ground Floor, Sunway Pyramid, 3, Jalan PJS 11/15, Bandar Sunway, 47500 Petaling Jaya, Selangor, Malaysia","review_rating:5, text:Mr Mal was polite & professional. He answered my questions about ICE watch and was very helpful to provide additional info.Thank you for the great customer service. | review_rating:5, text:Staff Afnan (from IOI branch) is really helpful at the Sunway outlet making the entire experience a pleasant one. Excellent staff! | review_rating:5, text:Pleasant service provided by the staff. Very attentive and more than happy to assist you. Kudos! | review_rating:5, text:i met a super kind & helpful sales person here, his name is Saiful Izwan~~~ thanks bro! | review_rating:1, text:staff serius tak ambil kisah psl customer..hantar jam nak baiki memg cukup2 6 bulan dia call tny kilang boleh repair tak..itu pun setelah berkali2 call tny weiii..dah tu kilang dah pulangkan ke kedai, dia bt senyap je..padahal dia yg ckp dah sampai dia akn inform..serius lah..dah lah brand ni mcm tak berbaloi",4,+60 3-5611 0825,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
Don Don Donki,"asian_grocery_store, grocery_store, food_store, food, store, point_of_interest, establishment","F1.39B, Ice Skating Rink, Sunway Pyramid, 3, Jalan PJS 11/15, Sunway City, 47500 Selangor, Malaysia","review_rating:4, text:Order Saba Don, you will have 10% discount when grab the Don after 6pm.

It’s delicious, just a little salty. There’s microwave for you to reheat your food and place to dine.

Got the Saba Don for RM12.80 (after discount). | review_rating:4, text:Lots of food and snacks and flavours available, especially Japan ones that is hard to find locally. Pretty good place to shop if you like cooking too as they sell a lot of meat and coming ingredients. If you want to dine in there's a seating area complete with a microwave to heat your food up. The convenience section Jumbo Chicken that I got tastes a bit old, maybe the food turnover rate for takeaway food is not high enough in this branch. | review_rating:5, text:Lots of assorted food and drinks over here mostly imported from japan. Sushi, beef, takoyaki, green tea, beer, ramen, jap cooking ingredients and so many more | review_rating:4, text:there were a lot of snacks n items like a Japanese one.
clean shop and kind staff | review_rating:5, text:Crowded with many Japanese products, the self-service checkout system is convenient and user friendly. There is a seating area where you can sit and eat or charge your device.",4.6,+60 3-5614 7111,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
ABC One Cafeteria,"restaurant, point_of_interest, food, establishment","LG2A 03B LOWER GROUND TWO A, SUNWAY PYRAMID, Bandar Sunway, 47500 Subang Jaya, Selangor, Malaysia","review_rating:4, text:It's a good establishment if you're looking for cheap food in sunway pyramid. It's a lil bit hidden but it's right next to a lift. Do note that this place is self-serve so it's not your usual mamak where the waiter will come to serve you. Since the staff's number are a lil bit limited, it might take a while if you're ordering food that need some cooking (mi goreng mamak etc.) If you're looking for something filling (and you want it fast), I would recommend you to order their nasi campur. The payment method here are by card, duitnow qr (you have to scan their duitnow qr) and also cash. The location has some echo to it, so you might have to speak louder when ordering your food/chatting with you companions.  Overall, I had a good experience dining here, though I wish the staff had called me promptly when my tapau-ed food was ready. Despite this, the quality, price, and convenience make it worthy of a four-star rating. | review_rating:1, text:Price is totally out so expensive some more staff making fool us we eat 3 person rice nasi goreng ayam kam thn nasi campur ikan kari … but thm put extra one nasi goreng biasa after we said u put extra charges pls change bill thn agine same price said tex need to pay for tex also cut rm 3 alrdy. After thm said now u have to pay bcz bill out alrdy omg very bad service fst time i see like that thts our last no more visit this restaurant | review_rating:1, text:The food is nice not bad, price also cheapt. The only thing the service is not good , especially attitude of the staff ( Bangladesh) not good. How they serve , how they speak to customer is very bad. The Bangladesh staff the fat guy using uniform red t-shirt no is manners. He was call me using his language, he was call me "" nani"" or grandma..
Yes am 42. am old but am not grandmom. Its not 1 time but many time he call me like that. If he small kids am agree he call me that. But he is old guy ( 30+) suppose he call me kakak. This considering insult and not respect.am customer.
If person's attitude good, its mean everything on him
is good. But he has bad attitude , it's mean all on him is bad. | review_rating:1, text:food is good but for the staff i give 0 star especially the guy with “kopiah” one (cashier)..so rude so slow and no manner at all..the way he look at the customer like he very hate his job..hate this kind of people | review_rating:1, text:Can u please change the cashier? The guy with beard and spectacle…he so slow..he know customer stand in front of him but he like “ i dont care at all” other staff give a good service but not him..he make other customer waiting so long",2.1,+60 18-979 0786,"Monday: 6:00 AM – 10:00 PM, Tuesday: 6:00 AM – 10:00 PM, Wednesday: 6:00 AM – 10:00 PM, Thursday: 6:00 AM – 10:00 PM, Friday: 6:00 AM – 10:00 PM, Saturday: 6:00 AM – 10:00 PM, Sunday: 6:00 AM – 10:00 PM"
JC CONCEPT,"shopping_mall, clothing_store, store, point_of_interest, establishment","F1.AV. 182 183 & 185, Sunway Pyramid Shopping Mall, Sunway City, NO: 3, Jalan PJS 11/15, Bandar Sunway, 47500 Subang Jaya, Selangor, Malaysia","review_rating:5, text:They've wide range of sizes and cutting for girls of all sizes. Have outfits for dinner, work formal, and daily casual. They also provide alteration service and have very comfy bra selection. | review_rating:5, text:Dress suitable for malaysia size!  Many nice designs and choices! The customer service is really good , very recommended | review_rating:5, text:Good service and nice dress !! Suitable for all sizes, from S to 5XL !! | review_rating:5, text:The gown here is so beautiful
I like their tailor made design | review_rating:5, text:Dresses suitable for Asian size. Pricing value for money.",5,+60 10-461 0723,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
Nars,"skin_care_clinic, health, store, point_of_interest, establishment","G1.128, 3, Jalan PJS 11/15, Bandar Sunway, 46150 Petaling Jaya, Selangor, Malaysia","review_rating:5, text:I came in to try some foundations, blush and lipsticks, and the salesperson Troy was SUPER FRIENDLY AND HELPFUL. All the products that he introduced me were all so suitable and really helped me in deciding what to buy!

Too bad Lazada is doing sales and that's the reason I went to physical store. So i ended up buying online. T-----T (Sorry Troy, sincere thanks for helping!)

NARS pleaaaase come up with ideas where both the customers and salespersons can walk away happily. Your salespersons should be rewarded if their service encourage customers to buy Nars products online! | review_rating:1, text:HONEST REVIEW : I went here in 30th august 2024, the stuff is not friendly at all, and lack of knowledge.
1. I just want to come inside but she already serve me and my friends with RBF.
2. I ask for NARS BA lipstick shade which is the one the hoshi and scoups used. But she dont even know their OWN ambassador !
3. As a high brand, i think this is really bad service. | review_rating:5, text:I have been wanting a prefect match foundation for my skin. I was hoping to get my shade today at Nars, the sales person Adelaine ( I apologize if the spelling is wrong ) really helped me out to find my perfect shade and on top of that she also assisted with the blush and bronzer I wanted to try. I’m new to makeup, she was very helpful throughout my choosing process. She did not push in selling anything more than I need. | review_rating:5, text:Mr Elbert, the Nars stores salesperson was highly professional and choosed the best matching product for my face. He was very friendly and knowledgeble. I purchased almost all the products he recommended, but at the same time he did’nt forced to sell anyting more than i needed. | review_rating:5, text:For me, the salesgirl was well educated on the products. She knew what was ‘grey’ ‘ashy’ ‘red/olive/honey/yellow’ undertones. She picked a good match for my skin tone. Been there twice, and bought great products to match my skin tone and undertone.",3.4,+60 3-5611 2742,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
