name,img,url,logo,category,description,location
1 MOBILE STORE,https://www.sunwaypyramid.com/static/shops/2eb370ab814c6a196e9dfbb31a9b9e73/w768-crop.jpg,https://www.sunwaypyramid.com/directory/1-mobile-store,https://www.sunwaypyramid.com/static/shops/a2c88ce981af6c084ee679c24f326e31/w768.png,Digital Lifestyle,"1 Mobile Store (also known as One Specialist Mobile) established since year 2007 with more than 15 years experience in the digital industry.
We are retail business which providing one stop mobile shopping experience in Sunway Pyramid Shopping Mall. Products such as smart phones, smart home electronics, gadgets and accessories, as well as telco and mobile repair & service are all available in store.
Brands that we are carrying are such as Apple, Samsung, Xiaomi, ROG, Black Shark and etc. As long as you name it, we have it! In addition, our professional repair service is available for iOS and Android devices.
We are also having strong believes in our core values, which are be genuine, be at the leading edge of trend, listen to customers, have integrity and be fair. We ensure you will have a great shopping experience with us.",F1.39 & F1.39A (First Floor)
1 Specialist Mobile,https://www.sunwaypyramid.com/static/shops/2736f0145c2a5f426560c77cca95c2a6/w768-crop.jpg,https://www.sunwaypyramid.com/directory/1-specialist-mobile,https://www.sunwaypyramid.com/static/shops/ed227d9dbb43358e5e6c1e820eabf335/w768.png,Digital Lifestyle,Retailing of gadget accessories and related products.,F1.38A (First Floor)
100 Vision,https://www.sunwaypyramid.com/static/shops/66e51d686ce7141827934544844d2c9d/w768-crop.jpg,https://www.sunwaypyramid.com/directory/100-vision,https://www.sunwaypyramid.com/static/shops/315c5bceafe7ac35b15c24dd77ca82ef/w768.png,Eyewear,"Retailing of eyewear, sunglasses and related products.",F1.101 (First Floor)
108 Matcha Saro,https://www.sunwaypyramid.com/static/shops/d82d7e7024599b48ada94f37566cac04/w768-crop.jpg,https://www.sunwaypyramid.com/directory/108-matcha-saro,https://www.sunwaypyramid.com/static/shops/630941d704a0910e7458d459f6b4c2bd/w768.png,Food & Beverages,"108 Matcha Saro celebrates the rich tradition of Japanese matcha with an exquisite menu that brings the authentic flavors of Uji, Kyoto. Specializing in matcha desserts like soft serve & parfaits, warabi mochi, and our signature Obanyaki, we invite you to indulge in the pure, intense, and vibrant world of matcha.",GF.122C (Ground Floor)
30DEGREES,https://www.sunwaypyramid.com/static/shops/1f8d1bda37bbe294d5b6a2178933b502/w768-crop.jpg,https://www.sunwaypyramid.com/directory/30degrees,https://www.sunwaypyramid.com/static/shops/fb8685c319d04e66822c7a020703946a/w768.png,Fashion,"Retailing of ladies sports fashion, lingerie and other related accessories only.",LG1.02 (Lower Ground 1 Floor)
3CE,https://www.sunwaypyramid.com/static/shops/551cecb80942666f8eb310ca067de528/w768-crop.jpg,https://www.sunwaypyramid.com/directory/3ce,https://www.sunwaypyramid.com/static/shops/44468169425d8ba0e7e70cc0f83891c5/w768.png,Beauty,"Introducing 3CE Stylenanda: The Color Expert from Seoul, Korea. Since its inception in 2009, 3CE has been on a transformative journey, pushing the boundaries of beauty with its motto of ""creative makeup."" The brand has become synonymous with Korean beauty trends, leading the way with its precisely curated palette of shades and textures. The 3CE Pink Space boutique isn't just a store; it's a journey—a voyage through the cosmos of beauty.",G1.119B-2 (Ground Floor)
3S Innovation,https://www.sunwaypyramid.com/static/shops/3a743fee2c7b5718e979fed92757076a/w768-crop.jpg,https://www.sunwaypyramid.com/directory/3s-innovation,https://www.sunwaypyramid.com/static/shops/2943e7176ce3a77f5db4403db0c69c61/w768.png,Asian Avenue,Retailing of gadget accessories and related products.,F1.AV.83 ()
4Fingers,https://www.sunwaypyramid.com/static/shops/1ca8e475423aeaddc2520f16236524e4/w768-crop.jpg,https://www.sunwaypyramid.com/directory/4fingers,https://www.sunwaypyramid.com/static/shops/103176a2699befe38f8872155a592eb1/w768.png,Food & Beverages,"Originally from Singapore, 4Fingers is now available at Sunway Pyramid! 4Fingers started out as single store in ION Orchard Singapore in 2009 and people were intrigued by their flavours. This lead to a wild spread rebellion spread across the nation. The founders of this food establishment found the best Asian fried chicken, believe or not, in New York’s city on the subway scene. This is where it all began. Their original chicken recipe is more well-known have a fiery sensation which is as intense as their hot and spicy sauce. From there on, they spread their wings to other regions such as Malaysia, Indonesia and Australia to share what they believed.
How do they make their chicken taste so good? Their chicken is specially cooked to using their own house recipe which resulted in an awesome fried chicken that's packed with loads of flavour. They also use only fresh, locally sourced free-range chicken in kitchens which definitely speaks of quality of their own food. What makes their chicken recipe unique, spicy and crispy, it is cooked with natural herbs and spices, with zero artificial flavourings. In addition to that there is no MSG and instead they use naturally fermented soy sauces that packs a punch, offering their food in the most natural way possible.
Their signature Soy Garlic and Hot & Spicy sauces are made the good old fashioned way, fermented naturally using a traditional Asian method (soy beans, water, 5 months of Malaysian sun) and natural herbs and spices. Not only their chicken is great but they also offer a variety of things such as their delicious burgers and sandwiches, seafood and salad to appeal to many. Now that is available in our mall, this is a great addition for everyone to enjoy a chicken recipe originated from Singapore. Come and try it out!",LG2.127 (Lower Ground 2 Floor)
6IXTY8IGHT,https://www.sunwaypyramid.com/static/shops/a1e4433ad34568ba230af5eb499bf64c/w768-crop.jpg,https://www.sunwaypyramid.com/directory/6ixty8ight,https://www.sunwaypyramid.com/static/shops/6036f4b4d21fb416da373561f6cd89e5/w768.png,Fashion,"With its signature pastel pink exterior and interior you definitely won’t miss 6IXTY8IGHT as you’re walking along LG1. If you’re on a shopping spree, you won’t want to skip this super cute store that has so much to offer that it’s established itself as ‘a girl’s favourite shopping destination’. Hailing from its headquarters in Hong Kong, the brand started out as a youthful and energetic lingerie brand founded by Erik Ryd, a Swedish entrepreneur with a well-known lingerie manufacturing business in Asia. A few years later, the brand expanded its range of apparel from its adorable to sexy lingerie line, to include nightwear, active wear, denim, tops, dresses, pants, loungewear and accessories.
As this shopping haven expands to become one of the fastest-growing fashion brands in Asia, it now has more than 200 outlets and counting all over. Lion is proud to say that the brand’s first outlet on Malaysian shores opened right here at Sunway Pyramid in 2019! When they first opened their doors to all fashion-adoring shoppers, Lion was curious to find out what the intriguing name of their store meant. Turns out, the meaning behind 6IXTY8IGHT’s unique name has its roots in Chinese numerology. Since Cantonese is the main dialect spoken in Hong Kong, their pronunciation for the numbers 6 and 8 have phonetic similarities to a phrase resembling “Forever luck!”.
There’s definitely something for everyone here. With their wide range of lingerie that’s either cute and quirky, or sexy and alluring, it’s amazing how comfortable and affordable it is too - who ever said you can’t have the best of both worlds? Even their outerwear is nothing short of stylish chic, great to mix and match for every occasion – whether it’s that perfect date outfit, or for a day out with friends, or even to your office. With 4,500 square feet of retail outlet space, you can shop to your heart’s content for the latest fashion trends so get ready to shop till you drop!",LG1.115B (Lower Ground 1 Floor)
7 Dayz,https://www.sunwaypyramid.com/static/shops/0d1e630ee471983996ebd512c24af72e/w768-crop.jpg,https://www.sunwaypyramid.com/directory/7-dayz,https://www.sunwaypyramid.com/static/shops/e5de905dba76327df5d6153e51f48fc4/w768.png,Fashion,Retailing as fashion apparels and related accessories,LG1.51 (Lower Ground 1 Floor)
